""

"Save Time: 21/06/2015 10:23:06"
"User Name:omcuser"


" "

"Total 202 Records"

"Resource Name","Collection Time","Granularity ","Inbound Rate(bit/s)","Outbound Rate(bit/s)","Inbound Bandwidth Utilization(%)","Outbound Bandwidth Utilization(%)"
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 01:00:00 UTC+06:00,1 Hour,1.11G,209.0M,27.73,5.23
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 02:00:00 UTC+06:00,1 Hour,753.0M,162.0M,18.82,4.05
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 03:00:00 UTC+06:00,1 Hour,855.0M,290.0M,21.38,7.25
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 04:00:00 UTC+06:00,1 Hour,811.0M,181.0M,20.27,4.52
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 05:00:00 UTC+06:00,1 Hour,326.0M,73.1M,8.15,1.83
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 06:00:00 UTC+06:00,1 Hour,216.0M,67.4M,5.39,1.69
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 07:00:00 UTC+06:00,1 Hour,292.0M,95.2M,7.31,2.38
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 08:00:00 UTC+06:00,1 Hour,523.0M,155.0M,13.07,3.87
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 09:00:00 UTC+06:00,1 Hour,842.0M,243.0M,21.04,6.06
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 10:00:00 UTC+06:00,1 Hour,1.17G,339.0M,29.18,8.48
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 11:00:00 UTC+06:00,1 Hour,1.4G,401.0M,34.90,10.03
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 12:00:00 UTC+06:00,1 Hour,1.33G,370.0M,33.13,9.26
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 13:00:00 UTC+06:00,1 Hour,891.0M,246.0M,22.27,6.15
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 14:00:00 UTC+06:00,1 Hour,1.54G,455.0M,38.55,11.38
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 15:00:00 UTC+06:00,1 Hour,1.58G,455.0M,39.39,11.37
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 16:00:00 UTC+06:00,1 Hour,1.49G,429.0M,37.22,10.72
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 17:00:00 UTC+06:00,1 Hour,1.2G,360.0M,30.02,9.00
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 18:00:00 UTC+06:00,1 Hour,1.12G,343.0M,28.03,8.58
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 19:00:00 UTC+06:00,1 Hour,1.15G,392.0M,28.78,9.80
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 20:00:00 UTC+06:00,1 Hour,1.77G,597.0M,44.23,14.92
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 21:00:00 UTC+06:00,1 Hour,1.51G,427.0M,37.77,10.67
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 22:00:00 UTC+06:00,1 Hour,1.72G,474.0M,43.10,11.85
CR07_BSS_NE40E_X8_A/Eth-Trunk0,19/06/2015 23:00:00 UTC+06:00,1 Hour,1.82G,428.0M,45.61,10.70
CR07_BSS_NE40E_X8_A/Eth-Trunk0,20/06/2015 00:00:00 UTC+06:00,1 Hour,1.51G,301.0M,37.80,7.51
CR07_BSS_NE40E_X8_A/Eth-Trunk0,20/06/2015 01:00:00 UTC+06:00,1 Hour,1.03G,185.0M,25.81,4.63
CR07_BSS_NE40E_X8_A/Eth-Trunk0,20/06/2015 02:00:00 UTC+06:00,1 Hour,684.0M,135.0M,17.10,3.38
CR07_BSS_NE40E_X8_A/Eth-Trunk0,20/06/2015 03:00:00 UTC+06:00,1 Hour,752.0M,215.0M,18.79,5.38
CR07_BSS_NE40E_X8_A/Eth-Trunk0,20/06/2015 04:00:00 UTC+06:00,1 Hour,753.0M,157.0M,18.81,3.91
CR07_BSS_NE40E_X8_A/Eth-Trunk0,20/06/2015 05:00:00 UTC+06:00,1 Hour,313.0M,69.3M,7.83,1.73
CR07_BSS_NE40E_X8_A/Eth-Trunk0,20/06/2015 06:00:00 UTC+06:00,1 Hour,218.0M,70.2M,5.44,1.75
CR07_BSS_NE40E_X8_A/Eth-Trunk0,20/06/2015 07:00:00 UTC+06:00,1 Hour,311.0M,101.0M,7.79,2.53
CR07_BSS_NE40E_X8_A/Eth-Trunk0,20/06/2015 08:00:00 UTC+06:00,1 Hour,557.0M,167.0M,13.93,4.17
CR07_BSS_NE40E_X8_A/Eth-Trunk0,20/06/2015 09:00:00 UTC+06:00,1 Hour,859.0M,252.0M,21.48,6.31
CR07_BSS_NE40E_X8_A/Eth-Trunk0,20/06/2015 10:00:00 UTC+06:00,1 Hour,1.14G,336.0M,28.38,8.41
CR07_BSS_NE40E_X8_A/Eth-Trunk0,20/06/2015 11:00:00 UTC+06:00,1 Hour,1.36G,392.0M,33.93,9.81
