""

"Save Time: 21/06/2015 10:23:23"
"User Name:omcuser"


" "

"Total 288 Records"

"Resource Name","Collection Time","Granularity ","Inbound Rate(bit/s)","Outbound Rate(bit/s)","Inbound Bandwidth Utilization(%)","Outbound Bandwidth Utilization(%)","Max Rate(bit/s)","Max Bandwidth Utilization(%)","Inbound Discarded Packet(packet)","Outbound Discarded Packet(packet)","Bandwidth(bit/s)","Interface Availability(%)"
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 17:45:00 UTC+06:00,5 Min,435.0M,365.0M,10.88,9.12,435.0M,9.12,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 17:50:00 UTC+06:00,5 Min,456.0M,385.0M,11.39,9.64,456.0M,9.64,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 17:55:00 UTC+06:00,5 Min,443.0M,358.0M,11.09,8.94,443.0M,8.94,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 18:00:00 UTC+06:00,5 Min,455.0M,379.0M,11.38,9.48,455.0M,9.48,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 18:05:00 UTC+06:00,5 Min,455.0M,374.0M,11.37,9.35,455.0M,9.35,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 18:10:00 UTC+06:00,5 Min,449.0M,367.0M,11.22,9.17,449.0M,9.17,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 18:15:00 UTC+06:00,5 Min,444.0M,356.0M,11.09,8.91,444.0M,8.91,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 18:20:00 UTC+06:00,5 Min,456.0M,381.0M,11.40,9.52,456.0M,9.52,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 18:25:00 UTC+06:00,5 Min,445.0M,377.0M,11.14,9.42,445.0M,9.42,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 18:30:00 UTC+06:00,5 Min,417.0M,346.0M,10.42,8.65,417.0M,8.65,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 18:35:00 UTC+06:00,5 Min,400.0M,335.0M,9.99,8.39,400.0M,8.39,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 18:40:00 UTC+06:00,5 Min,372.0M,300.0M,9.31,7.51,372.0M,7.51,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 18:45:00 UTC+06:00,5 Min,331.0M,264.0M,8.27,6.61,331.0M,6.61,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 18:50:00 UTC+06:00,5 Min,285.0M,229.0M,7.12,5.74,285.0M,5.74,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 18:55:00 UTC+06:00,5 Min,199.0M,165.0M,4.98,4.12,199.0M,4.12,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 19:00:00 UTC+06:00,5 Min,121.0M,102.0M,3.01,2.56,121.0M,2.56,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 19:05:00 UTC+06:00,5 Min,130.0M,106.0M,3.24,2.66,130.0M,2.66,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 19:10:00 UTC+06:00,5 Min,172.0M,131.0M,4.30,3.27,172.0M,3.27,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 19:15:00 UTC+06:00,5 Min,249.0M,190.0M,6.22,4.75,249.0M,4.75,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 19:20:00 UTC+06:00,5 Min,345.0M,257.0M,8.62,6.43,345.0M,6.43,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 19:25:00 UTC+06:00,5 Min,472.0M,345.0M,11.80,8.62,472.0M,8.62,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 19:30:00 UTC+06:00,5 Min,599.0M,430.0M,14.97,10.74,599.0M,10.74,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 19:35:00 UTC+06:00,5 Min,695.0M,489.0M,17.39,12.22,695.0M,12.22,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 19:40:00 UTC+06:00,5 Min,754.0M,536.0M,18.85,13.39,754.0M,13.39,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 19:45:00 UTC+06:00,5 Min,793.0M,562.0M,19.81,14.05,793.0M,14.05,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 19:50:00 UTC+06:00,5 Min,811.0M,572.0M,20.29,14.30,811.0M,14.30,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 19:55:00 UTC+06:00,5 Min,822.0M,582.0M,20.55,14.56,822.0M,14.56,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 20:00:00 UTC+06:00,5 Min,827.0M,586.0M,20.67,14.64,827.0M,14.64,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 20:05:00 UTC+06:00,5 Min,829.0M,602.0M,20.72,15.04,829.0M,15.04,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 20:10:00 UTC+06:00,5 Min,825.0M,596.0M,20.63,14.89,825.0M,14.89,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 20:15:00 UTC+06:00,5 Min,818.0M,589.0M,20.46,14.73,818.0M,14.73,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 20:20:00 UTC+06:00,5 Min,796.0M,575.0M,19.90,14.38,796.0M,14.38,0,0,4.0G,100.00
