""

"Save Time: 21/06/2015 10:23:23"
"User Name:omcuser"


" "

"Total 288 Records"

"Resource Name","Collection Time","Granularity ","Inbound Rate(bit/s)","Outbound Rate(bit/s)","Inbound Bandwidth Utilization(%)","Outbound Bandwidth Utilization(%)","Max Rate(bit/s)","Max Bandwidth Utilization(%)","Inbound Discarded Packet(packet)","Outbound Discarded Packet(packet)","Bandwidth(bit/s)","Interface Availability(%)"
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 21:10:00 UTC+06:00,5 Min,453.0M,112.0M,45.35,11.16
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 21:15:00 UTC+06:00,5 Min,464.0M,110.0M,46.41,11.03
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 21:20:00 UTC+06:00,5 Min,459.0M,109.0M,45.87,10.88
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 21:25:00 UTC+06:00,5 Min,470.0M,111.0M,46.99,11.15
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 21:30:00 UTC+06:00,5 Min,478.0M,114.0M,47.78,11.38
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 21:35:00 UTC+06:00,5 Min,479.0M,115.0M,47.87,11.47
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 21:40:00 UTC+06:00,5 Min,464.0M,113.0M,46.37,11.33
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 21:45:00 UTC+06:00,5 Min,469.0M,112.0M,46.88,11.22
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 21:50:00 UTC+06:00,5 Min,453.0M,115.0M,45.28,11.50
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 21:55:00 UTC+06:00,5 Min,470.0M,115.0M,46.96,11.46
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 22:00:00 UTC+06:00,5 Min,443.0M,115.0M,44.30,11.53
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 22:05:00 UTC+06:00,5 Min,447.0M,118.0M,44.73,11.79
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 22:10:00 UTC+06:00,5 Min,472.0M,120.0M,47.17,11.98
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 22:15:00 UTC+06:00,5 Min,487.0M,123.0M,48.74,12.27
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 22:20:00 UTC+06:00,5 Min,493.0M,125.0M,49.28,12.45
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 22:25:00 UTC+06:00,5 Min,499.0M,127.0M,49.93,12.75
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 22:30:00 UTC+06:00,5 Min,505.0M,129.0M,50.54,12.89
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 22:35:00 UTC+06:00,5 Min,513.0M,132.0M,51.34,13.22
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 22:40:00 UTC+06:00,5 Min,509.0M,130.0M,50.86,13.04
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 22:45:00 UTC+06:00,5 Min,528.0M,129.0M,52.75,12.87
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 22:50:00 UTC+06:00,5 Min,539.0M,128.0M,53.86,12.82
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 22:55:00 UTC+06:00,5 Min,554.0M,127.0M,55.40,12.68
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 23:00:00 UTC+06:00,5 Min,558.0M,124.0M,55.80,12.44
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 23:05:00 UTC+06:00,5 Min,569.0M,123.0M,56.89,12.31
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 23:10:00 UTC+06:00,5 Min,573.0M,122.0M,57.34,12.20
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 23:15:00 UTC+06:00,5 Min,577.0M,122.0M,57.72,12.16
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 23:20:00 UTC+06:00,5 Min,560.0M,119.0M,56.00,11.92
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 23:25:00 UTC+06:00,5 Min,559.0M,117.0M,55.92,11.74
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 23:30:00 UTC+06:00,5 Min,592.0M,115.0M,59.22,11.50
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 23:35:00 UTC+06:00,5 Min,572.0M,111.0M,57.19,11.10
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 23:40:00 UTC+06:00,5 Min,579.0M,107.0M,57.88,10.67
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 23:45:00 UTC+06:00,5 Min,552.0M,105.0M,55.18,10.47
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 23:50:00 UTC+06:00,5 Min,552.0M,99.4M,55.20,9.94
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,20/06/2015 23:55:00 UTC+06:00,5 Min,536.0M,95.4M,53.63,9.54
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 00:00:00 UTC+06:00,5 Min,546.0M,92.7M,54.55,9.27
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 00:05:00 UTC+06:00,5 Min,538.0M,93.6M,53.75,9.36
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 00:10:00 UTC+06:00,5 Min,517.0M,91.0M,51.75,9.10
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 00:15:00 UTC+06:00,5 Min,508.0M,88.2M,50.78,8.82
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 00:20:00 UTC+06:00,5 Min,503.0M,85.2M,50.32,8.52
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 00:25:00 UTC+06:00,5 Min,491.0M,83.0M,49.11,8.30
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 00:30:00 UTC+06:00,5 Min,472.0M,81.5M,47.15,8.15
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 00:35:00 UTC+06:00,5 Min,462.0M,75.0M,46.20,7.50
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 00:40:00 UTC+06:00,5 Min,411.0M,65.2M,41.08,6.52
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 00:45:00 UTC+06:00,5 Min,386.0M,59.2M,38.59,5.92
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 00:50:00 UTC+06:00,5 Min,403.0M,62.5M,40.34,6.25
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 00:55:00 UTC+06:00,5 Min,411.0M,60.6M,41.10,6.06
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 01:00:00 UTC+06:00,5 Min,391.0M,57.9M,39.13,5.79
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 01:05:00 UTC+06:00,5 Min,395.0M,58.7M,39.53,5.87
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 01:10:00 UTC+06:00,5 Min,399.0M,56.7M,39.87,5.67
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 01:15:00 UTC+06:00,5 Min,387.0M,53.2M,38.70,5.32
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 01:20:00 UTC+06:00,5 Min,380.0M,51.7M,38.00,5.17
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 01:25:00 UTC+06:00,5 Min,398.0M,51.1M,39.79,5.11
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 01:30:00 UTC+06:00,5 Min,374.0M,48.9M,37.36,4.89
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 01:35:00 UTC+06:00,5 Min,367.0M,47.4M,36.68,4.74
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 01:40:00 UTC+06:00,5 Min,387.0M,45.0M,38.66,4.50
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 01:45:00 UTC+06:00,5 Min,366.0M,45.0M,36.58,4.50
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 01:50:00 UTC+06:00,5 Min,327.0M,42.3M,32.70,4.23
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 01:55:00 UTC+06:00,5 Min,313.0M,41.0M,31.32,4.10
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 02:00:00 UTC+06:00,5 Min,294.0M,39.6M,29.37,3.96
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 02:05:00 UTC+06:00,5 Min,277.0M,39.3M,27.65,3.93
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 02:10:00 UTC+06:00,5 Min,258.0M,37.6M,25.81,3.76
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 02:15:00 UTC+06:00,5 Min,253.0M,36.7M,25.30,3.67
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 02:20:00 UTC+06:00,5 Min,254.0M,34.5M,25.42,3.45
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 02:25:00 UTC+06:00,5 Min,253.0M,36.7M,25.28,3.67
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 02:30:00 UTC+06:00,5 Min,242.0M,37.8M,24.25,3.78
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 02:35:00 UTC+06:00,5 Min,233.0M,38.0M,23.34,3.80
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 02:40:00 UTC+06:00,5 Min,238.0M,37.2M,23.78,3.72
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 02:45:00 UTC+06:00,5 Min,232.0M,38.7M,23.17,3.87
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 02:50:00 UTC+06:00,5 Min,208.0M,38.0M,20.82,3.80
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 02:55:00 UTC+06:00,5 Min,194.0M,41.2M,19.43,4.12
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 03:00:00 UTC+06:00,5 Min,186.0M,41.8M,18.58,4.18
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 03:05:00 UTC+06:00,5 Min,207.0M,44.0M,20.75,4.40
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 03:10:00 UTC+06:00,5 Min,195.0M,42.5M,19.55,4.25
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 03:15:00 UTC+06:00,5 Min,203.0M,41.2M,20.33,4.12
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 03:20:00 UTC+06:00,5 Min,204.0M,44.1M,20.43,4.41
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 03:25:00 UTC+06:00,5 Min,209.0M,45.8M,20.87,4.58
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 03:30:00 UTC+06:00,5 Min,268.0M,53.8M,26.76,5.38
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 03:35:00 UTC+06:00,5 Min,312.0M,59.4M,31.24,5.94
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 03:40:00 UTC+06:00,5 Min,344.0M,67.0M,34.35,6.70
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 03:45:00 UTC+06:00,5 Min,391.0M,70.3M,39.14,7.03
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 03:50:00 UTC+06:00,5 Min,363.0M,62.7M,36.34,6.27
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 03:55:00 UTC+06:00,5 Min,327.0M,52.2M,32.74,5.22
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 04:00:00 UTC+06:00,5 Min,310.0M,47.7M,31.01,4.77
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 04:05:00 UTC+06:00,5 Min,298.0M,47.1M,29.84,4.71
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 04:10:00 UTC+06:00,5 Min,298.0M,46.9M,29.85,4.69
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 04:15:00 UTC+06:00,5 Min,323.0M,47.4M,32.31,4.74
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 04:20:00 UTC+06:00,5 Min,317.0M,48.5M,31.69,4.85
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 04:25:00 UTC+06:00,5 Min,335.0M,47.1M,33.46,4.71
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 04:30:00 UTC+06:00,5 Min,311.0M,41.3M,31.06,4.13
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 04:35:00 UTC+06:00,5 Min,300.0M,37.6M,29.96,3.76
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 04:40:00 UTC+06:00,5 Min,267.0M,33.8M,26.73,3.38
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 04:45:00 UTC+06:00,5 Min,266.0M,30.4M,26.61,3.04
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 04:50:00 UTC+06:00,5 Min,235.0M,27.0M,23.45,2.70
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 04:55:00 UTC+06:00,5 Min,219.0M,24.4M,21.91,2.44
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 05:00:00 UTC+06:00,5 Min,186.0M,21.9M,18.62,2.19
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 05:05:00 UTC+06:00,5 Min,137.0M,21.2M,13.73,2.12
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 05:10:00 UTC+06:00,5 Min,129.0M,19.7M,12.89,1.97
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 05:15:00 UTC+06:00,5 Min,131.0M,18.3M,13.06,1.83
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 05:20:00 UTC+06:00,5 Min,120.0M,17.7M,12.03,1.77
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 05:25:00 UTC+06:00,5 Min,113.0M,17.3M,11.31,1.73
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 05:30:00 UTC+06:00,5 Min,96.1M,17.0M,9.61,1.70
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 05:35:00 UTC+06:00,5 Min,100.0M,17.5M,10.02,1.75
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 05:40:00 UTC+06:00,5 Min,98.0M,16.7M,9.80,1.67
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 05:45:00 UTC+06:00,5 Min,86.7M,16.3M,8.67,1.63
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 05:50:00 UTC+06:00,5 Min,79.3M,15.5M,7.93,1.55
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 05:55:00 UTC+06:00,5 Min,74.6M,15.9M,7.46,1.59
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 06:00:00 UTC+06:00,5 Min,69.3M,15.9M,6.93,1.59
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 06:05:00 UTC+06:00,5 Min,73.6M,16.5M,7.36,1.65
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 06:10:00 UTC+06:00,5 Min,78.9M,17.4M,7.89,1.74
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 06:15:00 UTC+06:00,5 Min,74.4M,16.9M,7.44,1.69
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 06:20:00 UTC+06:00,5 Min,73.4M,17.2M,7.34,1.72
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 06:25:00 UTC+06:00,5 Min,70.8M,17.7M,7.08,1.77
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 06:30:00 UTC+06:00,5 Min,65.9M,18.2M,6.59,1.82
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 06:35:00 UTC+06:00,5 Min,71.7M,19.7M,7.17,1.97
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 06:40:00 UTC+06:00,5 Min,70.1M,20.3M,7.01,2.03
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 06:45:00 UTC+06:00,5 Min,72.1M,21.4M,7.21,2.14
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 06:50:00 UTC+06:00,5 Min,77.0M,21.9M,7.70,2.19
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 06:55:00 UTC+06:00,5 Min,74.7M,22.3M,7.47,2.23
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 07:00:00 UTC+06:00,5 Min,78.9M,21.5M,7.89,2.15
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 07:05:00 UTC+06:00,5 Min,84.8M,22.9M,8.48,2.29
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 07:10:00 UTC+06:00,5 Min,94.7M,23.2M,9.47,2.32
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 07:15:00 UTC+06:00,5 Min,101.0M,24.0M,10.10,2.40
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 07:20:00 UTC+06:00,5 Min,106.0M,24.3M,10.60,2.43
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 07:25:00 UTC+06:00,5 Min,109.0M,25.4M,10.93,2.54
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 07:30:00 UTC+06:00,5 Min,120.0M,26.7M,12.03,2.67
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 07:35:00 UTC+06:00,5 Min,111.0M,27.7M,11.12,2.77
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 07:40:00 UTC+06:00,5 Min,124.0M,28.5M,12.36,2.85
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 07:45:00 UTC+06:00,5 Min,136.0M,31.0M,13.64,3.10
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 07:50:00 UTC+06:00,5 Min,122.0M,31.8M,12.23,3.18
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 07:55:00 UTC+06:00,5 Min,135.0M,32.9M,13.53,3.29
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 08:00:00 UTC+06:00,5 Min,132.0M,35.4M,13.20,3.54
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 08:05:00 UTC+06:00,5 Min,137.0M,36.1M,13.73,3.61
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 08:10:00 UTC+06:00,5 Min,146.0M,37.4M,14.65,3.74
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 08:15:00 UTC+06:00,5 Min,159.0M,40.5M,15.91,4.05
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 08:20:00 UTC+06:00,5 Min,169.0M,42.5M,16.95,4.25
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 08:25:00 UTC+06:00,5 Min,191.0M,44.4M,19.07,4.44
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 08:30:00 UTC+06:00,5 Min,181.0M,46.2M,18.14,4.62
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 08:35:00 UTC+06:00,5 Min,189.0M,48.6M,18.88,4.86
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 08:40:00 UTC+06:00,5 Min,199.0M,50.8M,19.88,5.08
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 08:45:00 UTC+06:00,5 Min,211.0M,51.8M,21.05,5.18
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 08:50:00 UTC+06:00,5 Min,211.0M,53.6M,21.12,5.36
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 08:55:00 UTC+06:00,5 Min,224.0M,55.2M,22.37,5.52
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 09:00:00 UTC+06:00,5 Min,228.0M,57.6M,22.76,5.76
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 09:05:00 UTC+06:00,5 Min,232.0M,61.5M,23.20,6.15
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 09:10:00 UTC+06:00,5 Min,242.0M,62.3M,24.22,6.23
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 09:15:00 UTC+06:00,5 Min,245.0M,63.1M,24.53,6.31
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 09:20:00 UTC+06:00,5 Min,252.0M,65.4M,25.18,6.54
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 09:25:00 UTC+06:00,5 Min,281.0M,67.7M,28.06,6.77
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 09:30:00 UTC+06:00,5 Min,270.0M,70.1M,27.01,7.01
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 09:35:00 UTC+06:00,5 Min,280.0M,71.1M,28.04,7.11
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 09:40:00 UTC+06:00,5 Min,278.0M,73.1M,27.75,7.31
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 09:45:00 UTC+06:00,5 Min,303.0M,74.4M,30.29,7.44
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 09:50:00 UTC+06:00,5 Min,287.0M,77.3M,28.72,7.73
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 09:55:00 UTC+06:00,5 Min,300.0M,78.6M,29.98,7.86
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 10:00:00 UTC+06:00,5 Min,302.0M,79.6M,30.21,7.96
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 10:05:00 UTC+06:00,5 Min,308.0M,82.8M,30.80,8.28
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 10:10:00 UTC+06:00,5 Min,311.0M,84.4M,31.09,8.44
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 10:15:00 UTC+06:00,5 Min,315.0M,83.5M,31.55,8.35
CR07_BSS_NE40E_X8_A/GigabitEthernet1/0/9,21/06/2015 10:20:00 UTC+06:00,5 Min,325.0M,86.7M,32.46,8.67


" "

"Total 288 Records"

"Resource Name","Collection Time","Granularity ","Inbound Rate(bit/s)","Outbound Rate(bit/s)","Inbound Bandwidth Utilization(%)","Outbound Bandwidth Utilization(%)"
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 10:25:00 UTC+06:00,5 Min,302.0M,317.0M,7.56,7.92
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 10:30:00 UTC+06:00,5 Min,309.0M,321.0M,7.73,8.03
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 10:35:00 UTC+06:00,5 Min,312.0M,324.0M,7.79,8.10
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 10:40:00 UTC+06:00,5 Min,314.0M,328.0M,7.84,8.19
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 10:45:00 UTC+06:00,5 Min,319.0M,331.0M,7.97,8.27
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 10:50:00 UTC+06:00,5 Min,325.0M,342.0M,8.13,8.55
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 10:55:00 UTC+06:00,5 Min,323.0M,343.0M,8.07,8.57
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 11:00:00 UTC+06:00,5 Min,325.0M,347.0M,8.12,8.67
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 11:05:00 UTC+06:00,5 Min,324.0M,349.0M,8.11,8.74
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 11:10:00 UTC+06:00,5 Min,325.0M,351.0M,8.13,8.78
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 11:15:00 UTC+06:00,5 Min,327.0M,352.0M,8.17,8.80
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 11:20:00 UTC+06:00,5 Min,331.0M,358.0M,8.27,8.95
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 11:25:00 UTC+06:00,5 Min,330.0M,358.0M,8.25,8.95
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 11:30:00 UTC+06:00,5 Min,330.0M,356.0M,8.25,8.91
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 11:35:00 UTC+06:00,5 Min,334.0M,364.0M,8.35,9.09
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 11:40:00 UTC+06:00,5 Min,334.0M,364.0M,8.34,9.09
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 11:45:00 UTC+06:00,5 Min,336.0M,368.0M,8.40,9.19
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 11:50:00 UTC+06:00,5 Min,335.0M,368.0M,8.39,9.20
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 11:55:00 UTC+06:00,5 Min,333.0M,367.0M,8.33,9.19
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 12:00:00 UTC+06:00,5 Min,332.0M,367.0M,8.30,9.18
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 12:05:00 UTC+06:00,5 Min,331.0M,365.0M,8.27,9.13
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 12:10:00 UTC+06:00,5 Min,334.0M,369.0M,8.34,9.22
MT14_S9306_SW_B/Eth-Trunk5,20/06/2015 12:15:00 UTC+06:00,5 Min,331.0M,367.0M,8.29,9.17
